no,line,name,lat,lng
1,01호선,녹양,37.75938,127.042292
2,01호선,남영,37.541021,126.9713
3,01호선,용산,37.529849,126.964561
4,01호선,노량진,37.514219,126.942454
5,01호선,대방,37.513342,126.926382
6,01호선,영등포,37.515504,126.907628
7,01호선,신도림,37.508725,126.891295
8,01호선,회기,37.58946,127.057583
9,01호선,외대앞,37.596073,127.063549
10,01호선,신이문,37.601854,127.067325
11,01호선,광운대,37.623632,127.061835
12,01호선,월계,37.633212,127.058831
13,01호선,녹천,37.644799,127.051269
14,01호선,창동,37.653166,127.047731
15,01호선,신길,37.517122,126.917169
16,01호선,석계,37.614805,127.065851
17,01호선,봉명,36.801215,127.135763
18,01호선,쌍용,36.793759,127.1214
19,01호선,아산,36.792053,127.104361
20,01호선,배방,36.777629,127.052991
21,01호선,온양온천,36.780483,127.003249
22,01호선,신창,36.769502,126.951108
23,01호선,구로,37.503039,126.881966
24,01호선,가산디지털단지,37.481072,126.882343
25,01호선,금천구청,37.455626,126.89398
26,01호선,관악,37.419232,126.908706
27,01호선,안양,37.401592,126.922874
28,01호선,명학,37.384653,126.935433
29,01호선,금정,37.372221,126.943429
30,01호선,의왕,37.320852,126.948217
31,01호선,성균관대,37.300349,126.97075
32,01호선,석수,37.435047,126.902295
33,01호선,화서,37.283862,126.989627
34,01호선,수원,37.265974,126.999874
35,01호선,독산,37.466613,126.889249
36,01호선,세류,37.245025,127.013222
37,01호선,병점,37.207503,127.032731
38,01호선,세마,37.187533,127.04318
39,01호선,오산대,37.168953,127.063197
40,01호선,송탄,37.075696,127.054301
41,01호선,서정리,37.056496,127.052819
42,01호선,평택,36.990726,127.085159
43,01호선,성환,36.916076,127.126964
44,01호선,직산,36.870593,127.143904
45,01호선,두정,36.833705,127.14896
46,01호선,천안,36.810005,127.146826
47,01호선,광명,37.416182,126.884466
48,01호선,개봉,37.494594,126.85868
49,01호선,오류동,37.494526,126.845365
50,01호선,역곡,37.485178,126.811502
51,01호선,군포,37.35356,126.948462
52,01호선,당정,37.344285,126.948345
53,01호선,서동탄,37.195504,127.051672
54,01호선,부천,37.48405,126.782686
55,01호선,송내,37.4876,126.753664
56,01호선,부평,37.489493,126.724805
57,01호선,백운,37.483664,126.707704
58,01호선,주안,37.464941,126.679923
59,01호선,제물포,37.466769,126.656666
60,01호선,동인천,37.475276,126.632802
61,01호선,인천,37.476691,126.616936
62,01호선,구일,37.496756,126.870793
63,01호선,소사,37.482753,126.79544
64,01호선,부개,37.488418,126.74109
65,01호선,간석,37.464737,126.694181
66,01호선,도원,37.468446,126.642706
67,01호선,온수,37.492258,126.823388
68,01호선,중동,37.486562,126.764843
69,01호선,오산,37.145885,127.06672
70,01호선,진위,37.109447,127.062278
71,01호선,동암,37.471408,126.702896
72,01호선,도화,37.46607,126.668672
73,01호선,방학,37.667503,127.044273
74,01호선,도봉,37.679563,127.045595
75,01호선,도봉산,37.689313,127.046222
76,01호선,망월사,37.709914,127.047455
77,01호선,회룡,37.724846,127.046895
78,01호선,의정부,37.738415,127.045958
79,01호선,가능,37.748577,127.044213
80,01호선,양주,37.774381,127.044708
81,01호선,덕계,37.818486,127.056486
82,01호선,덕정,37.843188,127.061277
83,01호선,지행,37.892334,127.055716
84,01호선,동두천중앙,37.901885,127.056482
85,01호선,동두천,37.927878,127.05479
86,01호선,보산,37.913702,127.057277
87,01호선,종로3가,37.571607,126.991806
88,01호선,종로5가,37.570926,127.001849
89,01호선,동대문,37.57142,127.009745
90,01호선,신설동,37.575297,127.025087
91,01호선,제기동,37.578103,127.034893
92,01호선,청량리,37.580178,127.046835
93,01호선,동묘앞,37.572627,127.016429
94,01호선,소요산,37.9481,127.061034
95,01호선,지제,37.0188,127.070444
96,01호선,서울,37.554648,126.972559
97,01호선,시청,37.564718,126.977108
98,01호선,종각,37.570161,126.982923
99,02호선,강변,37.535095,127.094681
100,02호선,잠실나루,37.520733,127.10379
101,02호선,잠실,37.51395,127.102234
102,02호선,잠실새내,37.511687,127.086162
103,02호선,종합운동장,37.510997,127.073642
104,02호선,삼성,37.508844,127.06316
105,02호선,선릉,37.504503,127.049008
106,02호선,역삼,37.500622,127.036456
107,02호선,강남,37.497175,127.027926
108,02호선,교대,37.493415,127.01408
109,02호선,방배,37.481426,126.997596
110,02호선,사당,37.47653,126.981685
111,02호선,낙성대,37.47693,126.963693
112,02호선,서울대입구,37.481247,126.952739
113,02호선,봉천,37.482362,126.941892
114,02호선,신림,37.484201,126.929715
115,02호선,신대방,37.487462,126.913149
116,02호선,구로디지털단지,37.485266,126.901401
117,02호선,신도림,37.508725,126.891295
118,02호선,문래,37.517933,126.89476
119,02호선,영등포구청,37.52497,126.895951
120,02호선,용답,37.561904,127.050899
121,02호선,신정네거리,37.520074,126.852912
122,02호선,을지로입구,37.566014,126.982618
123,02호선,을지로3가,37.566295,126.99191
124,02호선,을지로4가,37.566941,126.998079
125,02호선,동대문역사문화공원,37.565138,127.007896
126,02호선,신당,37.565972,127.01782
127,02호선,한양대,37.555273,127.043655
128,02호선,뚝섬,37.547184,127.047367
129,02호선,성수,37.544581,127.055961
130,02호선,건대입구,37.540693,127.07023
131,02호선,구의,37.537077,127.085916
132,02호선,당산,37.53438,126.902281
133,02호선,합정,37.549463,126.913739
134,02호선,홍대입구,37.557192,126.925381
135,02호선,신촌,37.555134,126.936893
136,02호선,이대,37.556733,126.946013
137,02호선,아현,37.557345,126.956141
138,02호선,충정로,37.559973,126.963672
139,02호선,신답,37.57004,127.046481
140,02호선,까치산,37.531768,126.846683
141,02호선,시청,37.564718,126.977108
142,02호선,서초,37.491897,127.007917
143,02호선,왕십리,37.561533,127.037732
144,02호선,상왕십리,37.564354,127.029354
145,02호선,대림,37.49297,126.895801
146,02호선,신설동,37.575297,127.025087
147,02호선,도림천,37.514287,126.882768
148,02호선,양천구청,37.512398,126.865819
149,02호선,용두,37.574028,127.038091
150,03호선,양재,37.484147,127.034631
151,03호선,매봉,37.486947,127.046769
152,03호선,도곡,37.490858,127.055381
153,03호선,대치,37.494612,127.063642
154,03호선,학여울,37.496663,127.070594
155,03호선,대청,37.493514,127.079532
156,03호선,일원,37.483681,127.08439
157,03호선,수서,37.487371,127.10188
158,03호선,동대입구,37.559052,127.005602
159,03호선,금호,37.548034,127.015872
160,03호선,옥수,37.540685,127.017965
161,03호선,압구정,37.527072,127.028461
162,03호선,신사,37.516334,127.020114
163,03호선,잠원,37.512759,127.01122
164,03호선,고속터미널,37.50481,127.004943
165,03호선,교대,37.493415,127.01408
166,03호선,남부터미널,37.485013,127.016189
167,03호선,경복궁,37.575762,126.97353
168,03호선,안국,37.576477,126.985443
169,03호선,종로3가,37.571607,126.991806
170,03호선,을지로3가,37.566295,126.99191
171,03호선,지축,37.648048,126.913951
172,03호선,구파발,37.636763,126.918821
173,03호선,연신내,37.619001,126.921008
174,03호선,불광,37.610469,126.929887
175,03호선,녹번,37.600927,126.935756
176,03호선,홍제,37.589066,126.943736
177,03호선,무악재,37.582299,126.950291
178,03호선,독립문,37.574571,126.957748
179,03호선,가락시장,37.492522,127.118234
180,03호선,경찰병원,37.495918,127.12454
181,03호선,오금,37.502162,127.128111
182,03호선,원당,37.653324,126.843041
183,03호선,대곡,37.631626,126.811024
184,03호선,백석,37.643114,126.78787
185,03호선,마두,37.652206,126.77762
186,03호선,정발산,37.659477,126.773359
187,03호선,주엽,37.670072,126.761334
188,03호선,대화,37.676087,126.747569
189,03호선,원흥,37.650658,126.872642
190,03호선,삼송,37.653083,126.895558
191,03호선,약수,37.55434,127.010655
192,03호선,충무로,37.561243,126.99428
193,03호선,화정,37.634592,126.83265
194,04호선,남태령,37.463873,126.989134
195,04호선,금정,37.372221,126.943429
196,04호선,당고개,37.670272,127.079066
197,04호선,상계,37.660878,127.073572
198,04호선,노원,37.655128,127.061368
199,04호선,창동,37.653166,127.047731
200,04호선,쌍문,37.648627,127.034709
201,04호선,수유,37.638052,127.025732
202,04호선,미아,37.62667,127.025983
203,04호선,미아사거리,37.613292,127.030053
204,04호선,길음,37.603407,127.025053
205,04호선,성신여대입구,37.592624,127.016403
206,04호선,한성대입구,37.588458,127.006221
207,04호선,혜화,37.582336,127.001844
208,04호선,동대문,37.57142,127.009745
209,04호선,동대문역사문화공원,37.565138,127.007896
210,04호선,충무로,37.561243,126.99428
211,04호선,명동,37.560989,126.986325
212,04호선,회현,37.558514,126.978246
213,04호선,서울,37.554648,126.972559
214,04호선,숙대입구,37.54456,126.972106
215,04호선,삼각지,37.534777,126.97311
216,04호선,신용산,37.52917,126.967894
217,04호선,동작,37.502971,126.979306
218,04호선,총신대입구,37.486263,126.981989
219,04호선,사당,37.47653,126.981685
220,04호선,경마공원,37.443885,127.007888
221,04호선,대공원,37.435675,127.006523
222,04호선,과천,37.433021,126.996568
223,04호선,정부과천청사,37.426513,126.98978
224,04호선,인덕원,37.401553,126.976715
225,04호선,평촌,37.394287,126.963883
226,04호선,범계,37.389793,126.950806
227,04호선,선바위,37.451673,127.002303
228,04호선,산본,37.358101,126.933274
229,04호선,대야미,37.328467,126.917332
230,04호선,반월,37.312212,126.903524
231,04호선,상록수,37.302795,126.866489
232,04호선,한대앞,37.309689,126.85344
233,04호선,중앙,37.315941,126.838573
234,04호선,고잔,37.316777,126.823249
235,04호선,초지,37.320646,126.805913
236,04호선,안산,37.327082,126.788532
237,04호선,신길온천,37.338212,126.765844
238,04호선,정왕,37.351735,126.742989
239,04호선,오이도,37.362357,126.738714
240,04호선,수리산,37.349801,126.925365
241,04호선,이촌,37.522272,126.974345
242,05호선,종로3가,37.571607,126.991806
243,05호선,둔촌동,37.527788,127.136248
244,05호선,올림픽공원,37.516078,127.130848
245,05호선,미사,37.563087,127.192675
246,05호선,하남풍산,37.5520403,127.203851
247,05호선,방화,37.577446,126.812741
248,05호선,개화산,37.572399,126.806171
249,05호선,김포공항,37.562434,126.801058
250,05호선,송정,37.561184,126.811973
251,05호선,마곡,37.560183,126.825448
252,05호선,애오개,37.553736,126.95682
253,05호선,서대문,37.565773,126.966641
254,05호선,광화문,37.571026,126.976669
255,05호선,충정로,37.559973,126.963672
256,05호선,왕십리,37.561533,127.037732
257,05호선,발산,37.558598,126.837668
258,05호선,우장산,37.548768,126.836318
259,05호선,화곡,37.541513,126.840461
260,05호선,까치산,37.531768,126.846683
261,05호선,신정,37.524997,126.856191
262,05호선,목동,37.526065,126.864931
263,05호선,오목교,37.524496,126.875181
264,05호선,양평,37.492832,127.491814
265,05호선,영등포구청,37.52497,126.895951
266,05호선,영등포시장,37.522669,126.905139
267,05호선,신길,37.517122,126.917169
268,05호선,여의도,37.521624,126.924191
269,05호선,여의나루,37.527098,126.932901
270,05호선,마포,37.539574,126.945932
271,05호선,공덕,37.544018,126.951592
272,05호선,을지로4가,37.566941,126.998079
273,05호선,신금호,37.554548,127.020331
274,05호선,행당,37.557322,127.029476
275,05호선,마장,37.5661,127.042973
276,05호선,답십리,37.566747,127.052704
277,05호선,장한평,37.56144,127.064623
278,05호선,군자,37.557121,127.079542
279,05호선,아차산,37.551691,127.089761
280,05호선,광나루,37.545303,127.10357
281,05호선,천호,37.538397,127.123572
282,05호선,강동,37.535804,127.132481
283,05호선,길동,37.537801,127.140004
284,05호선,굽은다리,37.545477,127.142853
285,05호선,명일,37.55137,127.143999
286,05호선,고덕,37.555004,127.154151
287,05호선,상일동,37.556712,127.166417
288,05호선,방이,37.508857,127.126133
289,05호선,오금,37.502162,127.128111
290,05호선,개롱,37.498079,127.13482
291,05호선,거여,37.493105,127.14415
292,05호선,마천,37.49499,127.152781
293,05호선,동대문역사문화공원,37.565138,127.007896
294,05호선,청구,37.560245,127.013828
295,06호선,망원,37.556094,126.910052
296,06호선,합정,37.549463,126.913739
297,06호선,상수,37.547716,126.922852
298,06호선,광흥창,37.547456,126.931993
299,06호선,대흥,37.547771,126.942069
300,06호선,버티고개,37.548013,127.007055
301,06호선,약수,37.55434,127.010655
302,06호선,청구,37.560245,127.013828
303,06호선,신당,37.565972,127.01782
304,06호선,응암,37.598605,126.915577
305,06호선,역촌,37.606021,126.922744
306,06호선,불광,37.610469,126.929887
307,06호선,독바위,37.618456,126.933031
308,06호선,연신내,37.619001,126.921008
309,06호선,구산,37.611377,126.91727
310,06호선,새절,37.591148,126.913629
311,06호선,증산,37.583876,126.909645
312,06호선,디지털미디어시티,37.576646,126.900984
313,06호선,월드컵경기장,37.569532,126.899298
314,06호선,마포구청,37.563515,126.903343
315,06호선,공덕,37.544018,126.951592
316,06호선,효창공원앞,37.539261,126.961351
317,06호선,삼각지,37.534777,126.97311
318,06호선,녹사평,37.534675,126.986695
319,06호선,이태원,37.534488,126.994302
320,06호선,한강진,37.539631,127.001725
321,06호선,동묘앞,37.572627,127.016429
322,06호선,창신,37.579661,127.015241
323,06호선,보문,37.585286,127.019381
324,06호선,안암,37.586272,127.029005
325,06호선,고려대,37.590508,127.036296
326,06호선,월곡,37.601948,127.041518
327,06호선,상월곡,37.606377,127.048491
328,06호선,돌곶이,37.610537,127.056431
329,06호선,석계,37.614805,127.065851
330,06호선,태릉입구,37.617983,127.07512
331,06호선,화랑대,37.620064,127.084689
332,06호선,봉화산,37.617283,127.091401
333,06호선,신내,37.612887,127.103218
334,07호선,군자,37.557121,127.079542
335,07호선,강남구청,37.517186,127.04128
336,07호선,학동,37.514229,127.031656
337,07호선,논현,37.511093,127.021415
338,07호선,반포,37.508178,127.011727
339,07호선,고속터미널,37.50481,127.004943
340,07호선,내방,37.487618,126.993513
341,07호선,이수,37.486263,126.981989
342,07호선,까치울,37.506207,126.810939
343,07호선,부천종합운동장,37.50538,126.797337
344,07호선,춘의,37.503663,126.787036
345,07호선,부평구청,37.508336,126.720548
346,07호선,사가정,37.580894,127.088478
